time,chy,chx,lat,lon,intensity
2021-06-01,1222500,2668500,47.149924069389755,8.341818638952848,
2021-06-01,1222500,2669500,47.149819808952245,8.35500260754743,
2021-06-01,1222500,2670500,47.14971403749391,8.36818652563868,
2021-06-01,1222500,2671500,47.149606755014744,8.38137039249993,
2021-06-01,1222500,2672500,47.14949796151475,8.394554207404513,
2021-06-01,1222500,2673500,47.149387656993916,8.407737969625764,
2021-06-01,1222500,2674500,47.149275841452244,8.420921678437013,
2021-06-01,1222500,2675500,47.14916251488975,8.434105333111596,
2021-06-01,1222500,2676500,47.14904767730641,8.447288932922847,
2021-06-01,1222500,2677500,47.14893132870225,8.460472477144098,
2021-06-01,1222500,2678500,47.148813469077254,8.473655965048682,
2021-06-01,1222500,2679500,47.14869409843141,8.486839395909932,
2021-06-01,1222500,2680500,47.148573216764746,8.500022769001182,
2021-06-01,1222500,2681500,47.148450824077244,8.513206083595763,
2021-06-01,1222500,2682500,47.148326920368916,8.526389338967014,
2021-06-01,1222500,2683500,47.14820150563975,8.539572534388263,
2021-06-01,1222500,2684500,47.14807457988975,8.552755669132846,
2021-06-01,1222500,2685500,47.147946143118915,8.565938742474096,
2021-06-01,1222500,2686500,47.14781619532724,8.579121753685348,
2021-06-01,1222500,2687500,47.147684736514755,8.592304702039932,
2021-06-01,1222500,2688500,47.14755176668142,8.60548758681118,
2021-06-01,1222500,2689500,47.14741728582724,8.61867040727243,
2021-06-01,1222500,2690500,47.14728129395225,8.631853162697013,
2021-06-01,1222500,2691500,47.14714379105642,8.645035852358264,
2021-06-01,1222500,2692500,47.14700477713975,8.658218475529512,
2021-06-01,1222500,2693500,47.14686425220224,8.671401031484097,
2021-06-01,1222500,2694500,47.14672221624391,8.684583519495346,
2021-06-01,1222500,2695500,47.14657866926475,8.697765938836596,
2021-06-01,1222500,2696500,47.14643361126475,8.710948288781179,
2021-06-01,1222500,2697500,47.14628704224393,8.72413056860243,
2021-06-01,1222500,2698500,47.14613896220225,8.737312777573681,
