,PAA,MDD,MDR,PAA_smooth,MDD_smooth,MDR_smooth,PAA_emanuel,MDR_emanuel,MDD_emanuel
83,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848824903091,0.020411579991739245,0.01570719741084208,0.8320214273240845,0.021321700080921067,0.02309268679644802
84,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848812901069,0.0204115797110064,0.015707197386265213,0.8369831460136906,0.021489833017092185,0.02316143975650133
85,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848801649179,0.020411579447819496,0.01570719736322441,0.8417695425926196,0.02165047348163364,0.02322720612103011
86,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848791147421,0.02041157920217851,0.015707197341719676,0.84638720580404,0.02180397429809049,0.023290138002989173
87,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848781395793,0.02041157897408341,0.015707197321751003,0.8508425074833911,0.021950673949658255,0.0233503789619072
88,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848772394294,0.020411578763534183,0.0157071973033184,0.8551416038594747,0.02209089664313368,0.023408064500998572
89,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848764142929,0.02041157857053079,0.01570719728642185,0.8592904377622058,0.022224952475058818,0.023463322537727215
90,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848756641689,0.020411578395073217,0.015707197271061357,0.8632947415930732,0.022353137680235474,0.023516273848622538
91,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848749890576,0.020411578237161446,0.015707197257236915,0.867160040930644,0.022475734945568693,0.023567032489252057
92,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848743889587,0.02041157809679547,0.01570719724494853,0.8708916586582681,0.022593013774668123,0.023615706190327677
93,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848738638723,0.020411577973975272,0.015707197234196193,0.8744947195145727,0.022705230890815813,0.023662396730968895
94,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848734137984,0.020411577868700844,0.01570719722497991,0.8779741549794826,0.02281263066782278,0.023707200290171218
95,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848730387368,0.020411577780972173,0.015707197217299674,0.8813347084194364,0.022915445579968635,0.023750207777536392
96,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848727386878,0.02041157771078925,0.015707197211155488,0.8845809404252934,0.02301389666367188,0.02379150514431581
97,0.676829268292683,0.022282478511659324,0.015052619672517092,0.753984872513651,0.020411577658152064,0.01570719720654735,0.8877172342852179,0.023108193984796965,0.023831173675802918
98,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848723636265,0.020411577623060617,0.015707197203475267,0.8907478015426822,0.02319853710658943,0.023869290266086758
99,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848722886143,0.02041157760551489,0.015707197201939225,0.893676687596726,0.023285115554161243,0.023905927676149224
